epoch,train_loss,train_acc,val_loss,val_acc,duration_s
1,1.4398,0.5156,0.8381,0.715,27
2,0.8575,0.7137,0.7248,0.76,33
3,0.7107,0.7606,0.6836,0.7712,37
4,0.618,0.7816,0.6579,0.7825,27
5,0.5718,0.8022,0.675,0.7688,27
6,0.4917,0.83,0.6282,0.785,27
7,0.4634,0.8422,0.6473,0.78,27
8,0.4276,0.8497,0.6409,0.785,27
9,0.3871,0.8716,0.641,0.7913,27
10,0.3399,0.8816,0.6754,0.7712,27
11,0.3432,0.8778,0.6723,0.775,27
