epoch,train_loss,train_acc,val_loss,val_acc,duration_s
1,1.5614,0.4653,1.0287,0.6713,21
2,1.0879,0.6438,0.9403,0.705,22
3,0.9628,0.6794,0.9191,0.6975,22
4,0.8809,0.7031,0.9163,0.6987,22
5,0.8386,0.7244,0.898,0.69,22
6,0.7945,0.7422,0.8904,0.6963,23
7,0.7526,0.7544,0.8876,0.6925,23
8,0.7335,0.7506,0.8846,0.6963,23
9,0.7138,0.7619,0.8818,0.7013,22
10,0.6904,0.7662,0.8729,0.7025,22
